gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000175063,52.39,1.87,0.29,6.55, 5.9e-11, 1.0e-10,UBE2C
ENSG00000175115,5054.65,-2.73,0.15,-18.59, 4.1e-77, 4.2e-76,PACS1
ENSG00000175155,724.47,-4.5,0.32,-14.14, 2.1e-45, 9.7e-45,YPEL2
ENSG00000175166,13133.26,1.71,0.08,21.02, 4.0e-98, 6.2e-97,PSMD2
ENSG00000175215,4408.79,-2.97,0.17,-17.58, 3.4e-69, 2.9e-68,CTDSP2
ENSG00000175334,3098.1,1.94,0.08,24.9,7.4e-137,2.6e-135,BANF1
ENSG00000175395,490.97,-1.62,0.13,-12.67, 8.8e-37, 3.3e-36,ZNF25
ENSG00000175463,2198.77,-3.71,0.15,-24.68,2.0e-134,6.6e-133,TBC1D10C
ENSG00000175567,2290.05,-2.13,0.4,-5.36, 8.3e-08, 1.3e-07,UCP2
ENSG00000175573,514.38,-2.19,0.17,-12.59, 2.3e-36, 8.5e-36,C11orf68
ENSG00000175592,3388.11,6.89,0.25,27.31,3.0e-164,1.7e-162,FOSL1
ENSG00000175606,1512.94,1.58,0.1,15.87, 1.1e-56, 6.8e-56,TMEM70
ENSG00000175662,795.6,-3.1,0.26,-12.1, 1.1e-33, 3.8e-33,TOM1L2
ENSG00000175768,799.22,1.76,0.11,15.87, 1.0e-56, 6.2e-56,TOMM5
ENSG00000175782,289.18,-2.73,0.21,-13.28, 3.0e-40, 1.2e-39,SLC35E3
ENSG00000175792,4082.28,2.5,0.09,27.31,3.5e-164,2.0e-162,RUVBL1
ENSG00000175899,1102.56,-4.93,1.02,-4.84, 1.3e-06, 1.9e-06,A2M
ENSG00000176438,1302.6,-3.4,0.34,-10.04, 1.1e-23, 2.8e-23,SYNE3
ENSG00000176454,650.9,-2.23,0.14,-15.5, 3.5e-54, 2.1e-53,LPCAT4
ENSG00000176619,5349.58,2.06,0.08,24.44,6.2e-132,2.0e-130,LMNB2
ENSG00000176749,448.89,-1.83,0.24,-7.7, 1.4e-14, 2.8e-14,CDK5R1
ENSG00000177169,1114.06,-1.6,0.11,-14.06, 7.0e-45, 3.3e-44,ULK1
ENSG00000177192,2908.09,1.56,0.09,16.82, 1.9e-63, 1.4e-62,PUS1
ENSG00000177239,1589.62,-1.76,0.11,-16.73, 7.7e-63, 5.6e-62,MAN1B1
ENSG00000177311,1352.9,-2.39,0.19,-12.88, 5.9e-38, 2.3e-37,ZBTB38
ENSG00000177374,1019.6,1.59,0.14,11.47, 1.8e-30, 5.6e-30,HIC1
ENSG00000177409,6909.66,-1.81,0.39,-4.69, 2.8e-06, 4.0e-06,SAMD9L
ENSG00000177494,6160.12,3.91,0.39,10.02, 1.2e-23, 3.2e-23,ZBED2
ENSG00000177542,3619.71,2.37,0.11,21.82,1.4e-105,2.7e-104,SLC25A22
ENSG00000177595,488.55,-2.24,0.13,-17.19, 3.2e-66, 2.5e-65,PIDD1
ENSG00000177606,2531.62,-1.84,0.24,-7.66, 1.9e-14, 3.7e-14,JUN
ENSG00000177663,3327.83,-1.94,0.17,-11.6, 4.3e-31, 1.4e-30,IL17RA
ENSG00000177666,2048.39,-1.67,0.11,-15.01, 6.6e-51, 3.6e-50,PNPLA2
ENSG00000177700,1953.22,1.55,0.11,13.63, 2.6e-42, 1.1e-41,POLR2L
ENSG00000177888,395.19,-1.54,0.2,-7.7, 1.4e-14, 2.8e-14,ZBTB41
ENSG00000177889,6343,1.65,0.11,15.59, 9.0e-55, 5.3e-54,UBE2N
ENSG00000177954,34075.52,-1.74,0.12,-14.1, 3.9e-45, 1.8e-44,RPS27
ENSG00000178035,13393.29,1.86,0.07,26.88,3.8e-159,2.0e-157,IMPDH2
ENSG00000178104,1179.31,-2.55,0.23,-11.04, 2.6e-28, 7.7e-28,PDE4DIP
ENSG00000178105,3501.31,2.57,0.1,25.87,1.4e-147,6.0e-146,DDX10
ENSG00000178188,1673.06,-2.01,0.09,-21.16, 2.1e-99, 3.5e-98,SH2B1
ENSG00000178202,367.41,-1.65,0.25,-6.74, 1.6e-11, 2.9e-11,POGLUT3
ENSG00000178209,22061.46,-2.04,0.11,-18.19, 6.3e-74, 5.9e-73,PLEC
ENSG00000178409,898.49,3.07,0.1,30.2,2.2e-200,2.6e-198,BEND3
ENSG00000178567,1573.5,-1.55,0.11,-14.06, 6.5e-45, 3.0e-44,EPM2AIP1
ENSG00000178685,2501.03,-2.55,0.28,-9.2, 3.6e-20, 8.5e-20,PARP10
ENSG00000178718,756.52,2.43,0.16,15.32, 5.9e-53, 3.3e-52,RPP25
ENSG00000178896,765.94,2.82,0.13,21.06, 1.7e-98, 2.7e-97,EXOSC4
ENSG00000178921,5879.1,3.05,0.1,30.03,4.4e-198,4.8e-196,PFAS
ENSG00000178952,11640.6,1.83,0.1,18.09, 4.2e-73, 3.8e-72,TUFM
ENSG00000178971,3255.79,-2.09,0.1,-21.67,4.2e-104,7.7e-103,CTC1
ENSG00000178974,1249.49,-1.85,0.09,-20.3, 1.4e-91, 1.9e-90,FBXO34
ENSG00000178980,829.46,-1.52,0.11,-14.24, 5.2e-46, 2.5e-45,SELENOW
ENSG00000178999,16.46,-3.13,0.57,-5.44, 5.2e-08, 8.1e-08,AURKB
ENSG00000179041,2868.67,2.5,0.09,27.9,2.5e-171,1.6e-169,RRS1
ENSG00000179091,3921.68,1.67,0.1,16.74, 7.1e-63, 5.2e-62,CYC1
ENSG00000179094,1230.4,-1.82,0.11,-16.42, 1.4e-60, 9.6e-60,PER1
ENSG00000179115,6978.39,2.44,0.11,22.58,6.7e-113,1.5e-111,FARSA
ENSG00000179144,2484.81,-2.47,0.16,-14.99, 8.9e-51, 4.8e-50,GIMAP7
ENSG00000179163,1354.42,-2.7,0.69,-3.91, 9.1e-05, 1.2e-04,FUCA1
ENSG00000179271,2495.6,1.55,0.12,12.53, 4.8e-36, 1.8e-35,GADD45GIP1
ENSG00000179295,11391.93,1.82,0.08,21.78,3.6e-105,6.8e-104,PTPN11
ENSG00000179364,1539.57,-1.52,0.14,-10.56, 4.5e-26, 1.3e-25,PACS2
ENSG00000179388,2473.68,5.82,0.19,30.54,8.7e-205,1.1e-202,EGR3
ENSG00000179409,3695.25,1.51,0.09,17.01, 6.5e-65, 4.9e-64,GEMIN4
ENSG00000179456,955.54,-2.19,0.14,-15.79, 3.8e-56, 2.3e-55,ZBTB18
ENSG00000179532,1840.03,-2.35,0.11,-21.14, 3.5e-99, 5.8e-98,DNHD1
ENSG00000179598,1149.81,1.67,0.09,18.71, 3.8e-78, 3.9e-77,PLD6
ENSG00000179820,681.3,-2.06,0.29,-7.17, 7.7e-13, 1.4e-12,MYADM
ENSG00000179832,1334.49,-1.98,0.15,-13.61, 3.3e-42, 1.4e-41,MROH1
ENSG00000179912,1089.56,-1.94,0.09,-21, 6.8e-98, 1.0e-96,R3HDM2
ENSG00000179950,7628.26,1.62,0.09,18.23, 2.9e-74, 2.7e-73,PUF60
ENSG00000179958,2727.11,3.21,0.11,28.57,1.7e-179,1.3e-177,DCTPP1
ENSG00000179981,1100.81,-1.72,0.08,-21.6,1.9e-103,3.4e-102,TSHZ1
ENSG00000180011,700.04,-2.82,0.15,-18.52, 1.6e-76, 1.5e-75,PTGR3
ENSG00000180198,3762.57,2.2,0.09,24.62,7.6e-134,2.5e-132,RCC1
ENSG00000180233,664.95,-2.12,0.16,-13.16, 1.6e-39, 6.3e-39,ZNRF2
ENSG00000180448,8523.72,-2.77,0.17,-16.72, 9.8e-63, 7.0e-62,ARHGAP45
ENSG00000180694,1418.37,1.88,0.13,14.04, 8.6e-45, 4.0e-44,TMEM64
ENSG00000180817,13031.58,2.57,0.13,20.48, 2.9e-93, 4.2e-92,PPA1
ENSG00000180902,575.06,-1.99,0.11,-17.39, 9.5e-68, 7.8e-67,D2HGDH
ENSG00000180957,6250.73,1.65,0.08,19.7, 2.0e-86, 2.4e-85,PITPNB
ENSG00000181026,3912.3,1.54,0.1,16.17, 8.9e-59, 5.8e-58,AEN
ENSG00000181035,406.13,-2.46,0.16,-15.78, 4.2e-56, 2.6e-55,SLC25A42
ENSG00000181045,1078.13,-2.46,0.28,-8.82, 1.1e-18, 2.6e-18,SLC26A11
ENSG00000181061,1021.9,1.54,0.18,8.51, 1.8e-17, 3.9e-17,HIGD1A
ENSG00000181104,470.64,-3.81,0.25,-15.01, 6.1e-51, 3.3e-50,F2R
ENSG00000181163,84263.88,1.8,0.09,19.8, 3.2e-87, 3.9e-86,NPM1
ENSG00000181192,456.21,-1.56,0.16,-9.87, 5.5e-23, 1.4e-22,DHTKD1
ENSG00000181381,2124.35,-2.85,0.33,-8.53, 1.5e-17, 3.3e-17,DDX60L
ENSG00000181523,1014.14,-2.96,0.29,-10.32, 5.4e-25, 1.5e-24,SGSH
ENSG00000181610,2431.13,2.04,0.12,17.38, 1.1e-67, 9.0e-67,MRPS23
ENSG00000181788,6363.56,2.51,0.14,18.37, 2.4e-75, 2.3e-74,SIAH2
ENSG00000181896,1693.41,-2.27,0.17,-13.26, 3.9e-40, 1.6e-39,ZNF101
ENSG00000181915,2671.61,1.77,0.1,17.13, 8.5e-66, 6.6e-65,ADO
ENSG00000181938,391.53,2.82,0.12,23.29,6.0e-120,1.5e-118,GINS3
ENSG00000182004,2978.1,1.98,0.14,13.84, 1.4e-43, 6.3e-43,SNRPE
ENSG00000182162,4024.4,-3.15,0.22,-14.23, 6.3e-46, 3.0e-45,P2RY8
ENSG00000182179,1861.32,-3.16,0.2,-15.56, 1.3e-54, 7.9e-54,UBA7
ENSG00000182199,13248.21,3.29,0.16,20.88, 7.5e-97, 1.1e-95,SHMT2
ENSG00000182307,4598.82,2.24,0.1,22.29,5.2e-110,1.1e-108,C8orf33
ENSG00000182481,6904.24,3.75,0.12,32.32,3.2e-229,5.7e-227,KPNA2
ENSG00000182541,1893.83,-3.29,0.19,-17.31, 4.1e-67, 3.3e-66,LIMK2
ENSG00000182670,5607.02,-1.64,0.1,-17.11, 1.3e-65, 1.0e-64,TTC3
ENSG00000182866,6818.86,-1.63,0.11,-14.73, 3.9e-49, 2.0e-48,LCK
ENSG00000183010,3877.35,6.97,0.15,46.06, 0.0e+00, 0.0e+00,PYCR1
ENSG00000183207,4456.96,2.45,0.11,22.11,2.4e-108,4.9e-107,RUVBL2
ENSG00000183354,1969.61,-1.52,0.09,-16.45, 8.6e-61, 5.9e-60,BRD10
ENSG00000183486,4561.49,-3.15,0.41,-7.75, 9.0e-15, 1.8e-14,MX2
ENSG00000183520,2890.46,2.88,0.13,23.02,2.7e-117,6.7e-116,UTP11
ENSG00000183605,1658.7,2.15,0.1,22.22,2.3e-109,4.8e-108,SFXN4
ENSG00000183684,5032.32,2.38,0.1,23.26,1.1e-119,2.9e-118,ALYREF
ENSG00000183696,1531.91,-1.58,0.23,-6.95, 3.7e-12, 6.8e-12,UPP1
ENSG00000183718,793.47,-1.89,0.07,-26.16,8.0e-151,3.6e-149,TRIM52
ENSG00000183751,4887.89,2.21,0.12,18.27, 1.4e-74, 1.3e-73,TBL3
ENSG00000183813,10273.1,2.34,0.25,9.28, 1.7e-20, 4.1e-20,CCR4
ENSG00000183856,22.73,-1.97,0.89,-2.22, 2.6e-02, 3.1e-02,IQGAP3
ENSG00000183878,961.51,-1.86,0.09,-20.46, 4.8e-93, 6.9e-92,UTY
ENSG00000183891,304.19,-2.19,0.14,-15.15, 8.1e-52, 4.5e-51,TTC32
ENSG00000184117,636.32,-1.51,0.11,-13.86, 1.1e-43, 5.1e-43,NIPSNAP1
ENSG00000184178,1378.86,2.78,0.08,36.85,3.2e-297,1.7e-294,SCFD2
ENSG00000184220,2196.8,2.93,0.11,27.05,4.0e-161,2.2e-159,CMSS1
ENSG00000184271,923.47,-3.01,0.14,-21.72,1.2e-104,2.3e-103,POU6F1
ENSG00000184371,3781.26,3.47,0.23,15.18, 4.5e-52, 2.5e-51,CSF1
ENSG00000184381,670.67,-2.18,0.14,-15.56, 1.3e-54, 7.7e-54,PLA2G6
ENSG00000184465,452.33,-2.73,0.13,-21.05, 2.1e-98, 3.3e-97,WDR27
ENSG00000184557,3399.25,4.24,0.16,26.88,3.6e-159,1.9e-157,SOCS3
ENSG00000184602,759.13,-1.86,0.26,-7.05, 1.8e-12, 3.3e-12,SNN
ENSG00000184613,3890.27,-2.5,0.12,-21.06, 1.8e-98, 2.9e-97,NELL2
ENSG00000184640,14118,-1.97,0.12,-17.15, 6.1e-66, 4.8e-65,SEPTIN9
ENSG00000184897,2756.78,-2.3,0.15,-14.88, 4.2e-50, 2.2e-49,H1-10
ENSG00000184922,7095,-1.89,0.13,-14.02, 1.1e-44, 5.2e-44,FMNL1
ENSG00000184939,1004.33,-2,0.12,-17.41, 7.5e-68, 6.2e-67,ZFP90
ENSG00000184967,2189.07,1.97,0.11,18.14, 1.5e-73, 1.4e-72,NOC4L
ENSG00000185033,334.68,-1.65,0.16,-10.19, 2.1e-24, 5.7e-24,SEMA4B
ENSG00000185101,1117.65,-3.04,0.19,-15.75, 6.4e-56, 3.9e-55,ANO9
ENSG00000185112,1273.51,2.32,0.23,10.04, 9.9e-24, 2.6e-23,FAM43A
ENSG00000185158,520,-2.77,0.11,-25.39,2.9e-142,1.1e-140,LRRC37B
ENSG00000185187,948.88,-4.13,0.21,-20.09, 9.1e-90, 1.2e-88,SIGIRR
ENSG00000185219,1268.21,-1.87,0.1,-18.22, 3.8e-74, 3.6e-73,ZNF445
ENSG00000185238,2042.29,2.11,0.11,19.01, 1.4e-80, 1.5e-79,PRMT3
ENSG00000185278,1350.68,-2.14,0.13,-16.07, 4.0e-58, 2.6e-57,ZBTB37
ENSG00000185291,585.61,-1.74,0.21,-8.37, 5.7e-17, 1.2e-16,IL3RA
ENSG00000185338,1985.52,2.95,0.15,19.55, 4.2e-85, 5.1e-84,SOCS1
ENSG00000185361,584.98,-2.06,0.17,-12.13, 7.3e-34, 2.5e-33,TNFAIP8L1
ENSG00000185418,576.97,-1.93,0.08,-25.62,9.5e-145,3.8e-143,TARS3
ENSG00000185507,2428.35,-1.67,0.37,-4.46, 8.2e-06, 1.2e-05,IRF7
ENSG00000185619,1779.85,-1.61,0.09,-17.28, 6.3e-67, 5.0e-66,PCGF3
ENSG00000185658,2693.05,-1.62,0.11,-15.33, 4.6e-53, 2.6e-52,BRWD1
ENSG00000185745,2031.88,-2.89,0.72,-3.99, 6.6e-05, 9.0e-05,IFIT1
ENSG00000185760,1052.4,2.16,0.15,14.75, 3.1e-49, 1.6e-48,KCNQ5
ENSG00000185862,1866.8,-3.88,0.22,-17.43, 4.9e-68, 4.0e-67,EVI2B
ENSG00000185905,578.91,-4.21,0.22,-19.47, 2.0e-84, 2.4e-83,C16orf54
ENSG00000185946,1155.45,-1.87,0.1,-19.58, 2.4e-85, 2.9e-84,RNPC3
ENSG00000185950,744.86,-2.83,0.21,-13.67, 1.5e-42, 6.6e-42,IRS2
ENSG00000185989,2535.55,-3.1,0.11,-28.92,7.4e-184,6.1e-182,RASA3
ENSG00000186104,630.71,-2.39,0.13,-18.07, 5.6e-73, 5.1e-72,CYP2R1
ENSG00000186174,4017.02,-3.48,0.13,-26.2,2.7e-151,1.2e-149,BCL9L
ENSG00000186193,187.72,3.34,0.2,16.94, 2.4e-64, 1.8e-63,SAPCD2
ENSG00000186350,641.62,-2.14,0.32,-6.75, 1.5e-11, 2.7e-11,RXRA
ENSG00000186376,607.02,-2.48,0.12,-19.94, 1.8e-88, 2.3e-87,ZNF75D
ENSG00000186470,3590.12,-2.36,0.12,-20.49, 2.6e-93, 3.7e-92,BTN3A2
ENSG00000186480,10266.27,1.78,0.11,15.54, 1.8e-54, 1.0e-53,INSIG1
ENSG00000186517,6574.27,-1.78,0.12,-14.89, 3.6e-50, 1.9e-49,ARHGAP30
ENSG00000186591,1217,-1.56,0.12,-12.97, 1.7e-38, 6.7e-38,UBE2H
ENSG00000186635,3222.49,-1.59,0.22,-7.33, 2.2e-13, 4.3e-13,ARAP1
ENSG00000186814,609.89,-1.6,0.1,-15.6, 7.8e-55, 4.6e-54,ZSCAN30
ENSG00000186815,1620.96,-2.03,0.29,-6.96, 3.4e-12, 6.3e-12,TPCN1
ENSG00000186827,11872.73,5.78,0.19,29.69,1.1e-193,1.2e-191,TNFRSF4
ENSG00000186854,2084.53,-2.04,0.15,-13.4, 6.3e-41, 2.6e-40,TRABD2A
ENSG00000186891,4072.92,4.54,0.19,24.24,8.6e-130,2.7e-128,TNFRSF18
ENSG00000186918,1173.57,-1.5,0.09,-17.44, 3.8e-68, 3.1e-67,ZNF395
ENSG00000186951,616.63,-1.76,0.19,-9.35, 8.7e-21, 2.1e-20,PPARA
ENSG00000187688,877.43,-2.26,0.35,-6.54, 6.1e-11, 1.1e-10,TRPV2
ENSG00000187741,731.91,2.6,0.15,17.13, 8.7e-66, 6.8e-65,FANCA
ENSG00000187840,1691.2,2.36,0.21,11.16, 6.7e-29, 2.0e-28,EIF4EBP1
ENSG00000187954,1351.35,-1.51,0.11,-14.25, 4.4e-46, 2.1e-45,ZFTRAF1
ENSG00000188042,5576.35,-3.23,0.22,-14.51, 1.0e-47, 5.1e-47,ARL4C
ENSG00000188157,2038.65,1.5,0.15,9.96, 2.2e-23, 5.8e-23,AGRN
ENSG00000188177,640.68,-3.53,0.17,-21.01, 5.4e-98, 8.4e-97,ZC3H6
ENSG00000188229,11372.2,2.5,0.1,24,3.1e-127,9.1e-126,TUBB4B
ENSG00000188243,836.92,-2.01,0.15,-13.45, 3.1e-41, 1.3e-40,COMMD6
ENSG00000188322,392.34,-3.65,0.27,-13.46, 2.6e-41, 1.1e-40,SBK1
ENSG00000188342,1475.91,1.81,0.09,20.49, 2.5e-93, 3.5e-92,GTF2F2
ENSG00000188389,1402.42,3.27,0.2,16.18, 7.5e-59, 4.9e-58,PDCD1
ENSG00000188452,955.54,-2.24,0.16,-13.92, 5.1e-44, 2.3e-43,CERKL
ENSG00000188486,2138.19,1.85,0.1,17.62, 1.6e-69, 1.4e-68,H2AX
ENSG00000188559,1335.75,-1.6,0.09,-17.44, 4.5e-68, 3.7e-67,RALGAPA2
ENSG00000188641,481.25,-3.36,0.37,-9.16, 5.2e-20, 1.2e-19,DPYD
ENSG00000188725,1844.7,1.51,0.14,11.04, 2.5e-28, 7.5e-28,SMIM15
ENSG00000188785,728.46,-2.59,0.15,-17.11, 1.2e-65, 9.4e-65,ZNF548
ENSG00000188807,1717.59,2.01,0.1,19.75, 7.8e-87, 9.7e-86,TMEM201
ENSG00000188811,505.2,-2.2,0.24,-9.21, 3.3e-20, 7.9e-20,NHLRC3
ENSG00000188921,544.55,-2.63,0.18,-14.53, 7.5e-48, 3.8e-47,HACD4
ENSG00000188976,9352.99,2.08,0.12,17.11, 1.4e-65, 1.0e-64,NOC2L
ENSG00000189046,839.76,1.56,0.1,15.6, 7.5e-55, 4.5e-54,ALKBH2
ENSG00000189060,404.42,-1.78,0.19,-9.3, 1.5e-20, 3.5e-20,H1-0
ENSG00000189180,1622.82,-2.13,0.12,-18.35, 3.0e-75, 2.9e-74,ZNF33A
ENSG00000189190,523.42,-2.43,0.13,-19.13, 1.4e-81, 1.5e-80,ZNF600
ENSG00000189221,368.77,3.79,0.51,7.43, 1.0e-13, 2.0e-13,MAOA
ENSG00000189283,578.53,-4.18,0.28,-15.09, 1.8e-51, 1.0e-50,FHIT
ENSG00000189339,2068.9,-2.62,0.14,-18.26, 1.7e-74, 1.6e-73,SLC35E2B
ENSG00000196116,704.28,-1.58,0.25,-6.34, 2.2e-10, 3.8e-10,TDRD7
ENSG00000196154,633.85,-3.45,0.44,-7.86, 3.8e-15, 7.7e-15,S100A4
ENSG00000196187,2162.33,-4.91,0.31,-15.7, 1.6e-55, 9.8e-55,TMEM63A
ENSG00000196214,828.18,-1.6,0.08,-19.28, 8.5e-83, 9.8e-82,ZNF766
ENSG00000196218,665.65,2.38,0.19,12.38, 3.3e-35, 1.2e-34,RYR1
ENSG00000196230,34498.72,2.28,0.07,34.31,6.6e-258,2.0e-255,TUBB
ENSG00000196305,22437.29,2.57,0.08,33.63,6.3e-248,1.5e-245,IARS1
ENSG00000196329,1017.47,-2.3,0.17,-13.9, 6.4e-44, 2.9e-43,GIMAP5
ENSG00000196365,8793.21,1.89,0.09,21.07, 1.4e-98, 2.2e-97,LONP1
ENSG00000196405,7123.39,-3.33,0.15,-21.63,9.7e-104,1.8e-102,EVL
ENSG00000196407,477.9,2.32,0.22,10.41, 2.3e-25, 6.3e-25,THEM5
ENSG00000196419,22303.38,1.55,0.08,18.5, 2.2e-76, 2.2e-75,XRCC6
ENSG00000196449,3753.73,3.25,0.13,25.34,1.2e-141,4.7e-140,YRDC
ENSG00000196456,551.17,-2.65,0.14,-18.56, 6.3e-77, 6.3e-76,ZNF775
ENSG00000196517,2340.01,7.34,0.22,33.29,5.0e-243,1.1e-240,SLC6A9
ENSG00000196535,1766.56,-1.94,0.12,-15.87, 1.1e-56, 6.6e-56,MYO18A
ENSG00000196576,439.74,-2.72,0.58,-4.65, 3.3e-06, 4.7e-06,PLXNB2
ENSG00000196591,6555.76,1.78,0.09,20.25, 3.2e-91, 4.5e-90,HDAC2
ENSG00000196683,3017.1,-1.83,0.11,-16, 1.2e-57, 7.8e-57,TOMM7
ENSG00000196684,992.24,-2.29,0.25,-9.01, 2.1e-19, 4.8e-19,HSH2D
ENSG00000196693,748.75,-3.31,0.15,-21.34,4.4e-101,7.5e-100,ZNF33B
ENSG00000196705,991.51,-1.52,0.12,-13.13, 2.2e-39, 8.9e-39,ZNF431
ENSG00000196739,316.07,2.16,0.19,11.63, 3.0e-31, 9.6e-31,COL27A1
ENSG00000196743,2463.19,-2.41,0.69,-3.49, 4.9e-04, 6.4e-04,GM2A
ENSG00000196757,575.72,-1.71,0.11,-15.18, 4.7e-52, 2.6e-51,ZNF700
ENSG00000196839,515.71,-1.76,0.18,-9.62, 6.9e-22, 1.7e-21,ADA
ENSG00000196914,2091.1,1.98,0.14,14.22, 7.2e-46, 3.4e-45,ARHGEF12
ENSG00000196975,411.29,-1.86,0.34,-5.55, 2.9e-08, 4.5e-08,ANXA4
ENSG00000197019,920.54,1.87,0.13,13.84, 1.5e-43, 6.7e-43,SERTAD1
ENSG00000197077,1076.71,-2.76,0.24,-11.74, 8.1e-32, 2.7e-31,KIAA1671
ENSG00000197147,4586.45,2.28,0.12,19.14, 1.1e-81, 1.2e-80,LRRC8B
ENSG00000197157,12932.32,1.79,0.1,18.7, 4.8e-78, 4.9e-77,SND1
ENSG00000197170,5451.36,2.13,0.13,16.57, 1.1e-61, 7.9e-61,PSMD12
ENSG00000197183,940.06,-2.94,0.13,-22.05,8.8e-108,1.7e-106,NOL4L
ENSG00000197217,3083.1,-1.67,0.1,-16.7, 1.4e-62, 9.9e-62,ENTPD4
ENSG00000197283,1579.59,-2.08,0.14,-14.63, 1.7e-48, 8.6e-48,SYNGAP1
ENSG00000197324,4256.31,-1.78,0.21,-8.37, 5.9e-17, 1.3e-16,LRP10
ENSG00000197345,1387.09,1.55,0.11,14.09, 4.6e-45, 2.2e-44,MRPL21
ENSG00000197355,390.84,-2.21,0.37,-6.01, 1.9e-09, 3.1e-09,UAP1L1
ENSG00000197448,3737.75,-1.74,0.1,-17.67, 6.5e-70, 5.6e-69,GSTK1
ENSG00000197451,16893.7,3.02,0.1,29.05,1.4e-185,1.2e-183,HNRNPAB
ENSG00000197457,859.62,-3.82,0.18,-20.86, 1.2e-96, 1.8e-95,STMN3
ENSG00000197471,4152.99,-2.66,0.2,-13.46, 2.7e-41, 1.1e-40,SPN
ENSG00000197498,4050.36,3.27,0.14,24.14,9.9e-129,3.0e-127,RPF2
ENSG00000197530,858.09,-2.02,0.1,-20.19, 1.2e-90, 1.7e-89,MIB2
ENSG00000197603,364.5,-1.84,0.21,-8.73, 2.5e-18, 5.7e-18,CPLANE1
ENSG00000197622,7774.15,-1.82,0.09,-20.8, 4.0e-96, 5.9e-95,CDC42SE1
ENSG00000197629,1067.04,-5.79,1,-5.79, 7.2e-09, 1.2e-08,MPEG1
ENSG00000197694,10683.55,-1.68,0.08,-20.85, 1.6e-96, 2.4e-95,SPTAN1
ENSG00000197746,24437.5,-1.61,0.64,-2.53, 1.1e-02, 1.4e-02,PSAP
ENSG00000197747,1558.82,-1.63,0.2,-8.08, 6.3e-16, 1.3e-15,S100A10
ENSG00000197780,677.69,1.98,0.14,14.19, 1.1e-45, 5.0e-45,TAF13
ENSG00000197785,3739.03,2.78,0.11,25.24,1.3e-140,5.0e-139,ATAD3A
ENSG00000197857,762.36,-2.57,0.14,-18.44, 6.7e-76, 6.6e-75,ZNF44
ENSG00000197860,1198.43,-1.5,0.18,-8.28, 1.2e-16, 2.6e-16,SGTB
ENSG00000197879,784.83,-1.58,0.24,-6.63, 3.5e-11, 6.1e-11,MYO1C
ENSG00000197943,221.44,-1.6,0.34,-4.67, 3.0e-06, 4.3e-06,PLCG2
ENSG00000197948,1258.37,-2.16,0.13,-16.51, 2.9e-61, 2.0e-60,FCHSD1
ENSG00000197956,2472.59,-1.79,0.25,-7.26, 3.8e-13, 7.2e-13,S100A6
ENSG00000197971,3936.57,-1.82,0.12,-14.9, 3.2e-50, 1.7e-49,MBP
ENSG00000198001,1783.53,-1.79,0.12,-15.57, 1.2e-54, 7.2e-54,IRAK4
ENSG00000198042,3354.54,2.33,0.1,23.74,1.5e-124,4.3e-123,MAK16
ENSG00000198053,790.98,-3.78,0.67,-5.61, 2.0e-08, 3.1e-08,SIRPA
ENSG00000198081,786.11,-2.13,0.08,-25.92,4.5e-148,1.9e-146,ZBTB14
ENSG00000198089,2275.5,-2.63,0.2,-13.05, 6.6e-39, 2.6e-38,SFI1
ENSG00000198169,680.12,-1.57,0.08,-20.27, 2.2e-91, 3.0e-90,ZNF251
ENSG00000198176,4419.19,1.62,0.08,21.08, 1.3e-98, 2.1e-97,TFDP1
ENSG00000198189,681.84,-3.46,0.28,-12.22, 2.4e-34, 8.3e-34,HSD17B11
ENSG00000198355,15494.45,2.84,0.13,21.63,1.0e-103,1.9e-102,PIM3
ENSG00000198464,391.29,-2.35,0.18,-13.22, 6.9e-40, 2.8e-39,ZNF480
ENSG00000198482,674.19,-1.71,0.11,-15.85, 1.4e-56, 8.4e-56,ZNF808
ENSG00000198498,1387.11,2.66,0.12,22.94,1.9e-116,4.6e-115,TMA16
ENSG00000198554,883.01,2.18,0.11,20.22, 6.7e-91, 9.1e-90,WDHD1
ENSG00000198585,426.01,-2.21,0.26,-8.48, 2.3e-17, 5.1e-17,NUDT16
ENSG00000198624,2002.96,-2.58,0.16,-15.8, 3.0e-56, 1.8e-55,CCDC69
ENSG00000198720,1217.47,3.82,0.2,19.22, 2.7e-82, 3.0e-81,ANKRD13B
ENSG00000198721,559.19,-1.84,0.12,-14.84, 7.5e-50, 4.0e-49,ECI2
ENSG00000198728,3252.04,-1.68,0.08,-21.25,3.0e-100, 5.0e-99,LDB1
ENSG00000198734,17874.17,3.86,0.19,20.83, 2.6e-96, 3.8e-95,F5
ENSG00000198740,570.89,-3.42,0.21,-16.52, 2.7e-61, 1.9e-60,ZNF652
ENSG00000198771,1884.76,-2.69,0.15,-18.17, 8.6e-74, 8.0e-73,RCSD1
ENSG00000198805,4044.7,1.55,0.09,18.19, 5.8e-74, 5.4e-73,PNP
ENSG00000198814,1516.62,1.96,0.15,13.38, 7.5e-41, 3.1e-40,GK
ENSG00000198821,3779.24,-2.53,0.19,-13.49, 1.7e-41, 7.3e-41,CD247
ENSG00000198873,1058.86,-1.8,0.12,-14.62, 2.2e-48, 1.1e-47,GRK5
ENSG00000198900,11311.1,1.99,0.06,30.91,8.6e-210,1.2e-207,TOP1
