gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000166226,19599.87,2.76,0.11,24.84,3.1e-136,1.1e-134,CCT2
ENSG00000166289,420.22,-2.13,0.12,-17.88, 1.7e-71, 1.5e-70,PLEKHF1
ENSG00000166311,541.77,-3.41,0.39,-8.7, 3.3e-18, 7.3e-18,SMPD1
ENSG00000166313,1079.71,-2.39,0.19,-12.64, 1.2e-36, 4.6e-36,APBB1
ENSG00000166340,4967.18,-2.89,0.36,-7.94, 2.0e-15, 4.1e-15,TPP1
ENSG00000166398,1114.18,-2.21,0.1,-22.73,2.5e-114,5.7e-113,GARRE1
ENSG00000166411,2500.41,2.06,0.07,31.47,2.0e-217,2.8e-215,IDH3A
ENSG00000166432,731.76,-3.61,0.22,-16.24, 2.5e-59, 1.7e-58,ZMAT1
ENSG00000166436,1005.42,-2.29,0.12,-18.37, 2.2e-75, 2.1e-74,TRIM66
ENSG00000166451,539.48,2.69,0.13,21.31,8.4e-101, 1.4e-99,CENPN
ENSG00000166483,947.64,1.51,0.3,4.97, 6.7e-07, 9.9e-07,WEE1
ENSG00000166532,830.61,-1.7,0.11,-15.75, 7.1e-56, 4.3e-55,RIMKLB
ENSG00000166562,3309.84,1.67,0.09,19.6, 1.5e-85, 1.9e-84,SEC11C
ENSG00000166750,4721.85,-4.07,0.34,-12.01, 3.2e-33, 1.1e-32,SLFN5
ENSG00000166783,3587.8,-2.13,0.08,-27.11,8.2e-162,4.5e-160,MARF1
ENSG00000166801,1280.55,-3.72,0.22,-16.73, 8.6e-63, 6.2e-62,FAM111A
ENSG00000166946,1376.58,-1.54,0.1,-15.56, 1.5e-54, 8.6e-54,CCNDBP1
ENSG00000166949,2912.49,-2.9,0.19,-15.07, 2.6e-51, 1.4e-50,SMAD3
ENSG00000166986,17533.69,1.96,0.1,18.82, 5.7e-79, 6.0e-78,MARS1
ENSG00000167077,309.57,-2.68,0.2,-13.27, 3.3e-40, 1.3e-39,MEI1
ENSG00000167085,6470.4,2.92,0.11,26.39,1.6e-153,7.7e-152,PHB1
ENSG00000167088,4966.55,2.77,0.11,25.05,2.0e-138,7.2e-137,SNRPD1
ENSG00000167106,9176.19,-3.02,0.11,-28.63,2.8e-180,2.2e-178,EEIG1
ENSG00000167112,2754.03,1.74,0.07,23.98,4.3e-127,1.3e-125,TRUB2
ENSG00000167114,2997.19,2.07,0.11,18.81, 5.7e-79, 6.0e-78,SLC27A4
ENSG00000167208,1350.54,-1.68,0.15,-11.28, 1.7e-29, 5.4e-29,SNX20
ENSG00000167232,867.43,-1.68,0.12,-13.57, 6.1e-42, 2.6e-41,ZNF91
ENSG00000167261,517.84,-7.36,0.63,-11.74, 7.6e-32, 2.5e-31,DPEP2
ENSG00000167280,1222.84,-2.37,0.14,-16.41, 1.6e-60, 1.1e-59,ENGASE
ENSG00000167302,697.14,-1.71,0.11,-15.83, 2.0e-56, 1.3e-55,TEPSIN
ENSG00000167380,562.03,-2.02,0.09,-22.78,6.5e-115,1.5e-113,ZNF226
ENSG00000167393,715.18,-1.74,0.09,-19.75, 8.7e-87, 1.1e-85,PPP2R3B
ENSG00000167513,560.58,3.05,0.13,22.63,2.3e-113,5.3e-112,CDT1
ENSG00000167528,821.15,-1.97,0.13,-15.04, 3.9e-51, 2.1e-50,ZNF641
ENSG00000167553,7615.36,3.73,0.2,18.67, 9.5e-78, 9.7e-77,TUBA1C
ENSG00000167604,4873.86,2.75,0.14,19.12, 1.7e-81, 1.9e-80,NFKBID
ENSG00000167613,543.31,-3.14,0.46,-6.84, 8.1e-12, 1.5e-11,LAIR1
ENSG00000167615,11091.41,-1.83,0.13,-14, 1.6e-44, 7.5e-44,LENG8
ENSG00000167664,193.75,-4.28,0.28,-15.1, 1.7e-51, 9.6e-51,TMIGD2
ENSG00000167695,266.3,2.06,0.12,17.32, 3.1e-67, 2.5e-66,TLCD3A
ENSG00000167702,512.86,-2.58,0.16,-16.64, 3.4e-62, 2.4e-61,KIFC2
ENSG00000167721,8623.58,2.93,0.09,31.71,1.3e-220,2.0e-218,TSR1
ENSG00000167766,1120.35,-3.18,0.14,-23.15,1.5e-118,3.8e-117,ZNF83
ENSG00000167775,2087.09,1.82,0.11,16.98, 1.1e-64, 8.3e-64,CD320
ENSG00000167851,140.7,-2.03,0.31,-6.53, 6.5e-11, 1.1e-10,CD300A
ENSG00000167895,2470.73,-3.64,0.22,-16.21, 4.1e-59, 2.7e-58,TMC8
ENSG00000167984,3379.43,-4.4,0.22,-20.08, 1.0e-89, 1.4e-88,NLRC3
ENSG00000168003,23486.19,2.07,0.15,14.01, 1.3e-44, 6.0e-44,SLC3A2
