"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Xkr4",0.421394042324425,0.190878768272161,0.683971572056495,0.460304402032074,NA
"Gm19938",0.455830060818274,0.101556258732179,0.708873781863659,0.675097742243759,NA
"Gm10568",0,0,0.98002558785745,NA,NA
"Rp1",0.0878401023184368,0.000234027857313336,0.913283549630555,0.998681580198927,NA
"Sox17",67.2746565738392,0.698979386807984,0.24472024606467,0.000314867561739066,0.00119104368417716
"Mrpl15",1283.64584949431,-0.00802644654721477,0.108739465614436,0.937092093546317,0.961822389999157
"Lypla1",2055.28789443734,-0.775440862216191,0.21620377234752,1.83672802743427e-05,9.07326587712339e-05
"Gm19860",1.90561527283164,-0.0585794962240297,0.481298260387923,0.803799231757578,0.867759617140389
"Tcea1",1595.38557136075,-0.165697367811745,0.0860936684857131,0.0444239887129348,0.090965561126973
"Rgs20",1.20016338523502,-0.270954144399154,0.607647592530391,0.314322146561436,0.441981593628455
"Atp6v1h",1338.29271890338,-0.286800107131509,0.0797076414833061,0.000181108835808498,0.000728503846885385
"Oprk1",0.387373634260036,0.186156837727983,0.790640233617533,0.445122271434144,NA
"Npbwr1",0.0180879202865927,0,0.913283426388937,1,NA
"Rb1cc1",925.631596506354,-0.479529216064154,0.120734134141758,1.32821866133428e-05,6.76833882508604e-05
"Alkal1",0,0,0.98002558785745,NA,NA
"St18",0.323985294544178,0.242176477533067,0.823951745564413,0.337294903402748,NA
"Pcmtd1",2436.72198642813,-0.454968834387832,0.0967741222667189,5.67746933205614e-07,3.75281552888287e-06
"Sntg1",8.74995363852208,3.59203376487522,0.945366126298487,1.59442578801916e-06,9.73832839457163e-06
"Rrs1",623.409027568332,0.0255087628805794,0.147415117225702,0.844892130049595,0.897022083594396
"Adhfe1",1927.94642227912,-0.662436521146529,0.173994995923036,9.73468732090494e-06,5.1059112586591e-05
"2610203C22Rik",9.73734086021603,0.512780833268198,0.371117441130469,0.0325141745331352,0.0699692966131075
"Vxn",5.64063497822608,0.909627730080677,0.591357456464798,0.00980437002756066,0.0249559510131505
"Mybl1",50.3940380193978,2.35239461408491,0.4489030357543,5.05750624369776e-09,4.70741124123901e-08
"Vcpip1",589.053895698662,-0.226926426009655,0.159228956362414,0.0994361789130198,0.17710294422316
"1700034P13Rik",14.4445013725188,-0.124689953493598,0.23637135096915,0.478906883631992,0.605370167783923
"Sgk3",244.774674965378,0.448238596497278,0.139289767194269,0.000293888497286724,0.00112012085846795
"Mcmdc2",1.34820476404779,0.288802977630161,0.565384750852458,0.279190024545611,0.402579460525226
"Snhg6",187.851513417201,1.04579638318263,0.201980487237068,1.6489405789553e-08,1.40665520615125e-07
"Snord87",0.767988358593252,0.14579043885697,0.571896824448562,0.561549355767525,0.676996206856589
"Tcf24",5.32994836470459,5.7271474443574,1.07550624267747,1.36050423046194e-10,1.62730923355136e-09
"Ppp1r42",10.2856362826437,7.06957820782095,0.966235640778625,1.14669596639123e-16,3.12790294904756e-15
"Cops5",1268.14765448802,-0.0150587912265333,0.0584378331489475,0.792769351600288,0.85990725866318
"Cspp1",353.243529420484,-0.0447167114831176,0.10304211567779,0.644856940089538,0.747387705813848
"Arfgef1",1772.80680172256,-0.173211714857756,0.161872767183516,0.214398841052496,0.328677039962227
