Approved symbol,DMSO_1,DMSO_2,DMSO_3,MG132_1,MG132_2,MG132_3,BRD1732_1,BRD1732_2,BRD1732_3,BRD1732_1um
CDKN1A,1.66289,1.86084,1.50798,4.49606,5.30806,3.68381,29.834,24.4748,25.0901,2.08134
RRAD,1.19597,1.45583,1.48129,3.52573,5.32036,5.12274,27.6595,26.5351,24.8978,2.80578
SNAI1,0.381192,0.363327,0.643926,4.59789,5.48293,4.79909,25.6597,25.3657,31.2645,1.4417
RSRP1,0.623243,0,1.10133,4.53369,5.56658,4.72555,32.3134,18.5535,29.1491,3.43355
SERPINE1,1.46337,1.46,1.75462,3.67064,5.46415,5.44383,24.381,23.554,30.6203,2.18817
FYTTD1,4.0627,3.80859,4.26219,3.89516,4.51616,4.52333,21.9066,22.9567,24.46,5.60854
CCNF,6.17422,5.95232,6.07731,3.9653,4.12881,4.93523,20.2858,18.1202,23.0508,7.31007
ZSWIM6,2.05889,1.9167,2.17255,5.31826,5.59511,5.85787,25.8424,22.412,25.2108,3.61542
KIF20A,7.0657,7.32051,7.12372,4.14639,4.40458,4.48236,17.7373,18.5525,19.1136,10.0533
PLAUR,1.32286,1.48766,1.44834,5.81679,5.72293,7.36573,24.4474,26.7081,21.2495,4.43072
COL5A3,6.14786,8.03882,6.71368,4.35471,4.68053,5.07301,16.504,18.4925,18.9412,11.0537
UTP4,4.77265,4.58817,4.74411,5.1679,5.59066,5.63723,20.9527,19.5419,20.4071,8.59763
BCL6,2.01497,2.44656,2.13068,6.18127,6.48855,6.32127,22.9792,23.3893,24.1648,3.88344
WDR36,5.00765,4.61657,4.67336,5.08641,5.5106,5.6726,19.4768,18.8522,21.5294,9.57443
SPOP,3.23321,3.03175,3.20896,5.62988,6.1418,6.3814,22.6894,20.5311,23.1565,5.99605
FBXO3,7.47926,7.90265,7.53188,4.62341,4.87457,5.35566,17.7352,17.9948,18.4902,8.01238
PTOV1,3.50877,3.77903,3.57951,5.93474,7.35494,5.7598,23.8621,20.5033,22.5426,3.17523
ZKSCAN5,3.85121,5.27976,5.47744,3.67178,6.50485,7.44394,19.2879,21.405,21.114,5.96417
FOS,0.60392,0.721035,0.768369,6.78706,7.64675,7.13202,26.8786,22.7073,25.0305,1.72449
DNAJB5,2.54595,2.23553,2.44841,6.38536,7.13007,6.5959,23.4743,22.3808,23.7068,3.09685
SIGLEC16,17.796,12.9275,23.1833,0.921075,5.24797,2.53022,11.2567,7.73483,10.6676,7.73475
PER1,4.43627,4.27596,4.24853,5.67736,6.38843,6.36914,21.1108,20.6503,20.6516,6.19158
WDR43,5.08665,5.19481,5.19631,5.40639,5.75075,6.13091,18.7011,18.615,20.2815,9.63658
KIF18A,5.75558,6.04865,5.84942,5.19362,5.70688,5.99244,17.4392,17.8217,20.3903,9.80224
FOSB,3.65764,3.00667,3.33546,7.25024,6.9083,6.136,24.4737,19.536,21.1819,4.51413
KLHDC10,5.32794,5.35326,5.15283,5.69662,6.074,6.64536,18.8276,19.3252,20.3628,7.23449
PRR11,9.28451,10.394,9.19477,4.37326,4.76965,4.91414,13.9937,14.4071,16.017,12.6519
ASPM,5.86599,5.76749,5.75838,5.68154,6.15277,6.05715,18.1311,18.2377,20.1496,8.19828
RPF1,2.22958,2.11592,2.37784,6.68102,7.42512,7.66282,22.424,21.1193,24.713,3.25148
NUSAP1,2.81114,3.02907,3.25452,6.40923,6.81899,7.53549,20.7476,21.2805,22.9866,5.12679
WDR75,6.21981,5.8917,5.84575,5.37451,6.27969,5.77594,17.2311,17.8592,19.0818,10.4406
SGO2,5.23307,4.91027,5.31408,6.00269,6.4979,6.33059,19.7498,18.2423,20.2162,7.50302
CCNE2,2.2836,2.33135,2.29626,6.97102,7.58668,7.33852,23.6735,20.6353,23.1951,3.68873
ARHGAP11A,4.40581,4.47549,4.72597,6.41154,6.50194,6.885,19.5755,18.8765,21.4212,6.72113
CDCA2,5.84785,6.25046,5.84019,5.63764,5.88047,5.92913,17.0846,17.3506,18.2945,11.8845
UTP15,5.34546,5.19684,5.49553,5.84788,6.53923,6.36234,17.6747,18.2125,19.8224,9.50309
AXL,9.93186,9.91492,9.98076,5.0342,5.37744,4.79857,14.9207,13.7736,16.3604,9.90753
HEATR1,7.26143,7.12509,7.25993,5.46511,5.72014,5.78842,15.7775,16.8538,17.6296,11.1189
PWP2,5.40664,5.30124,5.40327,5.94072,6.26231,6.5763,17.2984,18.0503,20.2168,9.54404
NET1,5.04779,6.39961,4.97412,6.02273,6.17554,7.2695,17.4777,20.8197,19.1893,6.62407
WDR46,3.29313,2.99289,3.10393,7.15184,7.34427,7.34706,22.1142,20.0534,21.9019,4.69731
TAF4B,6.43166,7.76678,6.4378,5.58161,5.737,6.61758,16.5414,17.094,18.9248,8.86735
WDR3,6.81381,6.65618,6.55954,5.78963,6.14691,6.06243,16.9191,17.041,18.1911,9.82022
GNL2,5.94343,5.65818,5.96084,6.13554,6.30321,6.48681,17.9218,17.7251,18.5827,9.28238
ZBTB48,5.72851,6.48864,6.86303,5.64574,5.98092,6.92708,15.6341,18.8243,18.5821,9.32559
KNL1,7.60146,7.61165,7.56154,5.76154,5.81249,5.81341,16.5791,16.3442,16.6715,10.2432
VGF,12.215,11.9465,12.0085,4.15622,4.4364,4.16914,11.6751,11.8367,12.7461,14.8104
AURKB,7.33711,6.78773,7.00489,5.76841,5.91492,6.06903,15.9224,15.9566,18.2026,11.0363
CDCA7,12.0465,13.0147,13.0755,4.2678,3.28696,4.02334,9.08018,11.1464,12.3158,17.7428
DEDD,2.81678,3.41487,3.13904,7.25163,7.71617,7.85347,18.761,21.2056,23.3029,4.53848
UBE2S,4.56767,4.60578,4.8126,6.5627,6.71034,7.13003,19.2502,19.3413,17.4724,9.54702
MTBP,6.98419,6.78638,6.8484,6.04151,6.34406,6.27851,16.2832,15.8619,19.0792,9.4927
TBL3,7.64537,7.75993,7.28061,5.80603,5.81805,5.8961,15.2162,15.4067,17.3135,11.8575
DCAF15,4.3385,4.80728,4.56972,6.88278,7.07549,7.55238,18.4447,19.7812,20.5352,6.01275
SMTN,5.89829,6.38596,6.20404,6.00895,6.50882,6.57614,17.0418,17.466,17.645,10.265
RPF2,6.35242,6.55221,6.19534,6.15286,6.21107,6.55625,15.9055,16.8322,18.789,10.4532
HJURP,7.97038,8.02912,8.45614,5.69249,5.97073,6.03827,15.6402,15.5208,16.9453,9.73654
RCL1,4.87277,4.94097,5.00762,6.47809,7.21703,7.18967,17.9935,18.4863,20.1064,7.70767
KDM3A,5.39281,5.23498,5.43843,6.62357,6.6316,7.10542,18.2256,18.3243,18.5726,8.45073
NR4A1,1.0918,1.24241,1.48661,7.85143,8.77769,8.83061,22.0996,21.5571,24.0377,3.02505
ESCO2,4.53028,4.71339,4.44769,7.02777,7.06992,7.53575,18.672,18.8176,19.6592,7.52644
TSPYL1,2.48433,2.61755,2.77566,7.58588,8.00847,8.33273,20.5262,20.5063,21.8427,5.32014
HSPA2,6.72716,6.10502,6.86546,6.45026,7.07239,6.72812,17.8512,17.2694,17.942,6.98903
NOL11,4.91672,4.70258,4.93904,6.82268,7.28485,7.17221,18.4057,17.9839,19.1791,8.59324
DDX10,7.41275,7.50421,7.51182,5.95104,5.93596,6.384,15.1833,15.5808,16.7754,11.7608
KDM7A,3.43934,3.47663,3.64804,7.45949,8.12815,7.798,18.1592,19.8056,22.4679,5.61773
INCENP,5.3171,5.36881,5.61778,6.65229,7.09533,7.39881,17.5205,17.7448,18.9257,8.35879
ELL,5.23397,5.61853,5.36001,6.89277,6.6324,7.56943,17.4352,17.4753,18.8782,8.90431
DDX24,4.73137,4.56074,4.84931,6.84764,7.5793,7.55002,17.2482,19.0468,19.5595,8.02708
NPAT,5.51209,5.78506,5.8847,6.79659,6.60038,7.51354,16.4486,17.5601,19.0209,8.8781
MEF2D,4.6989,5.39061,5.24332,6.71636,7.32704,7.94245,17.9575,18.8531,18.9319,6.93879
BMS1,4.63889,4.43184,4.66656,7.03531,7.38308,7.74481,18.4487,17.7636,19.7228,8.16435
SNAPC3,4.51273,3.9308,4.26014,7.26391,8.30121,7.71552,19.9369,17.8992,20.8442,5.33534
BUB1,6.80539,6.32004,6.52834,6.82022,7.16702,6.8452,18.1919,16.7239,17.4619,7.13614
KDM5C,7.2794,7.27799,7.25334,6.23821,7.10791,6.796,16.4532,15.9035,17.5176,8.17287
ZNF721,2.87354,3.48223,3.00597,7.67882,8.80364,8.00314,19.0978,18.4595,23.0396,5.5558
ATAD2,2.84136,2.08249,2.77552,8.24012,8.35249,8.65537,21.533,19.2252,21.4465,4.84787
MAK16,8.41733,7.73859,7.86606,5.88605,5.96486,6.2598,14.6056,14.0447,15.8466,13.3705
PDCD11,7.79828,7.55375,7.8121,6.32458,6.41034,6.68317,15.0791,15.6964,16.7926,9.84974
NIFK,5.34422,5.29929,5.68948,7.18043,7.40177,7.54868,18.137,17.3992,18.6116,7.38827
NOL7,3.61415,3.66367,3.89595,7.74841,7.91155,8.50971,18.6223,19.4798,20.7319,5.82254
OLFM2,6.51316,7.15951,6.95842,5.49071,7.12812,6.97473,14.6728,16.4443,16.4425,12.2158
HASPIN,6.90678,7.27647,7.07492,6.44792,6.44706,6.71832,15.8857,15.8974,15.7885,11.557
FCF1,4.86705,4.48401,4.51644,6.98512,7.97047,8.45862,18.2212,18.6159,19.9316,5.9496
PRDM1,2.90496,2.84455,3.00977,8.97111,7.73721,8.47063,20.3075,19.5054,21.1053,5.14354
FBL,7.19119,6.06297,6.98841,6.67818,6.71555,7.20853,16.608,16.0287,16.9097,9.60883
NAT10,6.73495,6.21027,6.6777,6.41964,6.78918,7.20206,15.5879,16.0025,17.4676,10.9081
AURKA,8.61055,8.73341,8.67395,6.12696,6.12989,6.27023,14.2696,15.1883,15.0159,10.9812
GRN,8.53839,8.71967,8.60153,5.8694,6.68971,6.20917,14.6391,14.3237,15.9439,10.4655
CA5B,5.51566,7.83959,4.3498,6.34491,8.15869,7.21025,16.0855,16.4801,19.2873,8.72825
MKI67,4.9708,5.25106,5.36932,7.08753,7.25784,7.49431,16.4685,16.7662,18.8612,10.4733
UBR5,7.03026,6.9659,7.03652,6.62039,6.72126,6.75209,15.6776,15.6746,16.4749,11.0465
RRS1,6.40762,6.04581,6.53326,6.82807,6.88025,7.28177,15.8862,16.9713,17.0072,10.1585
ZNF189,3.88327,4.16753,4.02768,7.39919,8.17099,8.44306,17.5671,18.1082,21.223,7.01
CLUL1,4.74145,4.95625,5.72186,6.47339,8.7183,8.34213,16.8988,16.2352,22.4556,5.45695
ARID5B,4.43308,4.09072,4.36963,7.6904,8.29189,7.9175,19.3217,17.5095,19.5565,6.8191
B4GALT3,7.31406,7.96642,9.05239,6.85319,5.94083,7.18922,15.1006,15.2943,16.7319,8.55715
KIF18B,5.02012,5.78977,5.89822,7.13402,7.45199,8.10283,16.5598,17.3086,19.6033,7.13132
CLK3,8.70135,7.95811,8.62398,5.97616,6.3553,6.72998,14.2405,14.2149,16.0866,11.1131
AEN,3.8364,4.27123,5.17449,6.66954,9.5089,8.67783,18.3133,17.1945,22.4286,3.92528
G2E3,6.60133,6.36336,6.22293,6.91035,6.95853,7.35819,15.5682,16.0523,17.6951,10.2697
FBXO33,5.43788,6.16854,5.31735,7.33346,7.64931,8.14608,16.9077,17.6523,18.9288,6.45855
RSL24D1,4.75024,4.0373,4.58592,7.88926,8.77773,7.89288,20.9457,16.4824,19.3201,5.31846
PRAME,4.74219,4.93316,5.28961,7.55627,8.18029,8.29176,17.9666,18.1907,19.3109,5.53851
LRRC41,6.84757,7.00914,6.6995,6.55122,7.24461,6.97156,15.1819,15.6725,17.0668,10.7553
IMP4,6.9294,7.42938,6.83105,6.82776,6.34195,7.32037,14.3954,16.3303,16.2138,11.3806
PIAS1,7.79625,8.28181,7.35625,6.19626,6.83436,6.6461,14.1385,14.3412,16.5612,11.8481
CLIP3,1.75174,1.8332,1.91687,7.97145,9.39942,10.1553,19.2881,19.5686,23.9937,4.12159
RSL1D1,6.84733,6.47323,6.88996,6.97348,7.343,7.27731,15.7566,16.2747,17.0757,9.0887
GTPBP4,6.69194,6.49433,6.80143,6.92542,7.05619,7.31169,15.516,15.872,17.0233,10.3077
CDCA8,6.66874,7.12981,6.94043,6.79554,7.05697,7.5261,14.8771,16.3927,17.2123,9.40023
UTP18,5.40273,5.61993,5.02324,7.75885,7.53471,8.13758,17.3526,16.3146,19.4378,7.418
RPL7L1,5.04772,4.93235,5.27578,7.56934,8.18773,8.4214,17.1439,17.8164,19.5025,6.10283
EBNA1BP2,4.77172,5.12008,4.9251,7.32663,8.25044,8.1926,17.3221,18.1111,18.0985,7.88173
SMARCD2,6.70428,7.09144,6.66146,6.9602,7.2948,7.66486,15.2037,16.7395,17.4071,8.27261
PUM3,5.40511,5.44043,5.62879,7.28816,7.44672,7.92052,16.0363,16.9298,17.966,9.93819
ZMYND11,4.68939,3.83803,4.63156,7.64207,7.6627,8.71407,18.0215,17.3727,18.5871,8.84082
RRP9,6.32222,6.18606,6.29426,6.67623,7.71141,7.64893,14.5013,16.8569,17.931,9.87171
CCDC59,5.00655,5.18901,5.30461,7.84091,7.82168,8.5384,17.2343,17.6031,19.1797,6.28171
NEK2,5.36572,5.63576,5.48035,7.05623,8.82528,8.28758,16.7136,17.3689,19.7298,5.53673
ZNF850,4.17947,5.73543,4.7618,7.7283,7.54918,7.93839,15.6796,18.0938,17.8543,10.4797
UHRF2,5.86903,6.08303,6.31659,7.5327,7.54974,7.67725,16.537,16.1577,17.8246,8.45241
SEMA7A,9.67773,11.8503,9.95502,5.48117,6.4541,6.44378,13.0675,12.0664,15.6367,9.36731
MOSPD3,10.4521,12.1549,12.5986,5.87194,4.96223,5.51191,10.1047,11.8711,14.1843,12.2882
ARMC5,8.91705,8.81286,8.32206,5.79031,6.91,6.60327,13.7066,13.314,15.6739,11.9499
BRIX1,5.77386,5.45633,5.56188,7.76359,7.58639,7.89309,16.7863,17.0749,17.3421,8.76147
MORF4L1,3.32814,3.40941,3.65299,8.45982,8.97622,8.93559,19.4776,18.4397,20.0699,5.2507
DNTTIP2,2.84507,2.76263,2.87254,8.82891,8.6699,9.2829,19.5497,19.2436,19.998,5.94672
FASTKD5,7.89138,7.99244,8.05288,6.85027,7.13092,6.93309,14.9983,14.6796,16.1742,9.29686
NIP7,7.50716,7.55561,7.49442,7.20914,6.68479,7.40208,14.7952,15.1267,16.7362,9.48868
ZNF267,4.06842,4.99863,4.04267,7.94647,8.06284,9.11432,17.9641,17.5914,19.4065,6.80471
BOP1,8.78892,8.33369,8.64228,6.4684,6.63928,6.78056,14.4645,14.2915,14.6899,10.901
KRR1,5.39457,5.2328,5.52062,7.84568,7.63157,8.21918,17.1633,17.0676,17.5317,8.39307
CRY1,5.5709,5.74256,5.98819,7.72668,8.30867,7.85001,17.2352,16.1634,18.7667,6.64765
CCNE1,5.14423,4.99356,5.00457,7.52857,8.1865,8.47819,17.1459,16.9038,18.7841,7.83059
MRFAP1,2.11577,2.45715,2.58661,9.02658,9.70136,9.37535,20.5415,19.1048,21.448,3.64288
KMT2B,8.45654,8.76766,8.21763,6.70599,6.89394,6.54818,13.8861,14.9752,14.8761,10.6727
CADM4,7.6555,8.80112,7.73124,7.045,7.08451,6.87775,13.7329,15.6648,16.1773,9.2299
PES1,8.01655,8.22869,8.01331,6.7115,6.86294,7.20849,14.1591,14.9071,15.7735,10.1188
SNAPC1,3.91535,3.56141,3.97392,8.52672,9.00241,9.06899,19.6381,18.1725,19.472,4.66865
PHLDB3,8.15637,9.54836,8.44421,6.57483,6.76931,7.15096,13.2617,14.8517,15.8705,9.37198
MORF4L2,2.54686,2.41139,2.65802,9.1744,9.78945,9.44515,20.9857,19.0373,20.6818,3.27001
AHCTF1,6.3263,6.18876,6.30948,7.59961,7.86229,7.83098,16.3841,15.9319,17.3323,8.23428
SCML2,7.41867,7.64539,8.01116,6.47039,7.44714,7.21689,14.2321,14.5024,16.0751,10.9809
ASH1L,4.27358,4.76746,4.64537,8.35897,8.70241,8.81357,17.5744,17.9901,19.2666,5.60752
ZNF101,4.46246,4.82587,4.86115,7.51017,8.09678,8.8736,16.8956,17.6469,17.2754,9.55212
ZNF160,3.60355,3.444,3.89217,7.9007,8.88217,9.35977,17.4798,18.8538,18.9414,7.64272
HEXIM1,6.93616,7.40911,7.42779,6.68205,8.12731,7.76941,14.5067,15.8538,17.3772,7.91047
SIN3B,6.64143,6.58718,6.56974,7.63243,7.57699,7.75636,15.9399,15.5216,16.8458,8.92855
CEBPZ,7.96333,8.21685,7.92277,6.7433,6.92818,7.19255,14.015,14.2921,15.3869,11.3389
SNIP1,5.67014,4.94879,5.64376,8.07996,8.16094,8.36142,17.4427,16.1589,17.8054,7.72797
NOP16,5.93301,5.12788,6.11018,7.95186,8.21071,8.13081,17.7534,16.09,16.8687,7.8235
TICRR,6.74952,6.47963,6.51955,7.57723,7.67782,7.88479,15.8567,15.4386,16.9674,8.84876
ZNF845,5.93061,5.15042,5.90197,7.67652,8.31611,8.03396,16.6433,15.1517,18.165,9.03037
SMARCC2,6.19359,6.38578,6.29763,7.90963,7.56857,8.07118,15.8116,16.4157,16.7373,8.60902
B4GALT5,7.28725,7.62522,7.23659,7.57821,7.3816,7.28148,14.1275,13.9788,18.0545,9.44882
ZNF106,4.54294,3.7838,4.32306,8.52415,8.69061,8.66469,18.3133,16.6287,18.7377,7.79112
RPS6KA5,6.8802,6.9196,6.99277,7.36841,7.94094,8.08703,16.3405,15.4204,16.7032,7.34695
NXT1,8.05418,6.80835,6.44192,7.96758,7.19572,7.31621,17.9367,13.6235,14.7745,9.88133
KDM4A,5.23367,5.43046,5.69507,8.23235,8.60915,8.36447,17.5715,16.6024,17.7536,6.50726
KIF20B,7.09337,7.01764,7.10462,7.34672,7.50835,7.55618,15.0697,14.7702,16.2958,10.2374
ZNF654,6.47155,6.59368,6.93248,7.38366,7.43415,7.78481,15.8775,15.3433,15.2844,10.8944
NXF1,6.90618,7.43891,6.91476,7.59308,7.51602,7.67874,15.4894,15.0121,16.3721,9.07875
ARHGAP19,7.43773,6.6851,7.06137,7.44333,6.94625,7.90913,16.1145,15.33,14.2862,10.7863
TERF2IP,5.94503,6.71079,6.46747,7.47119,8.29483,8.28892,14.9769,16.8841,17.4598,7.50094
TBC1D10A,6.69205,7.15353,6.65756,7.56435,7.36826,8.01701,14.8937,15.4675,16.4268,9.75925
DDX47,7.80427,7.85117,7.87374,7.30338,7.08288,7.57499,14.1521,14.9141,15.6266,9.81675
NOP2,7.4072,7.69546,7.41253,7.1882,7.47336,7.62808,14.3155,15.3518,15.6904,9.83752
EMSY,7.16715,7.64757,7.27397,7.24198,7.3869,7.75769,14.4722,15.4581,15.6099,9.98466
CHCHD2,11.8056,10.7288,13.1467,5.01545,6.00597,5.60574,11.4274,10.7,11.6702,13.894
MTA3,8.88632,8.79882,8.55721,6.90104,6.89657,6.63996,13.5395,13.1622,14.787,11.8313
KMT2A,7.49871,7.95068,7.64592,6.79502,7.34755,7.35571,13.6415,15.1202,14.8782,11.7665
CYP51A1,10.0542,10.1407,10.1139,6.44888,6.67663,6.38002,12.8846,12.4311,14.2208,10.6491
DDX56,4.30386,4.86614,4.54667,8.5903,8.72812,9.37446,17.4224,17.8492,18.8045,5.5144
TROAP,7.15023,6.93205,6.96909,8.00829,8.40743,7.09762,16.7384,14.9438,15.9361,7.81701
RASA4B,10.0555,9.97457,10.4515,5.65159,6.15137,5.7489,10.8991,12.4937,12.0936,16.4802
SUZ12,7.48338,7.52557,7.42042,7.54234,7.23351,7.61274,14.4319,14.6325,16.1585,9.95907
MPHOSPH10,5.50966,5.33856,5.51744,8.03218,8.16046,8.33185,16.4603,16.1086,16.9478,9.59319
CENPF,4.72687,5.11021,5.00039,8.50608,8.386,8.86868,17.0366,17.0086,17.8838,7.47287
CLP1,8.03206,8.03279,8.42314,7.25827,7.39698,7.49706,14.5012,14.4566,15.6923,8.70959
VCPIP1,7.75285,7.89496,7.56187,7.51477,7.46468,7.62342,15.4149,15.1658,14.8089,8.79786
BIRC5,7.54238,6.93841,7.37922,7.36368,7.475,7.57533,15.1606,15.1331,14.6787,10.7535
CKAP2L,7.05818,6.82053,7.22874,7.35869,7.97805,8.02641,15.7724,15.2316,15.7747,8.75073
KIF4A,11.435,11.3347,11.4489,5.95363,6.00736,5.89073,11.9656,11.5419,12.2156,12.2066
CDKN2A,2.03778,3.75971,3.27121,7.73005,8.23914,10.7469,16.6662,17.2179,19.538,10.7931
HNRNPU,6.50606,6.51682,7.77649,6.47637,9.02448,7.66132,17.7317,11.7228,16.8039,9.78002
MEN1,6.41982,6.68555,6.28967,7.46961,8.08326,8.26589,15.043,15.7642,16.7533,9.22566
TGFB1,9.08047,9.32026,9.08692,6.34523,6.66652,6.59486,12.6412,12.607,13.8634,13.7942
NPTN,6.32022,5.76558,7.18166,7.43535,8.38086,8.49541,15.456,16.1382,16.8486,7.97806
ZNF227,4.18985,4.09623,4.54103,8.50356,8.52147,9.7779,16.5045,17.0596,19.7428,7.06298
SPTY2D1,5.77168,6.07946,6.07979,7.70856,8.42625,8.64392,15.1908,16.4973,17.4939,8.10839
BAZ1A,7.65066,7.95409,7.98117,7.24658,7.20608,7.56493,13.9072,14.1778,15.53,10.7815
COQ10B,6.86857,7.718,7.13934,8.08621,7.51679,6.55742,13.7645,15.2193,14.9087,12.2212
ZRANB3,12.4256,13.3189,12.8563,5.0478,5.80194,5.15126,10.3336,10.2376,11.1002,13.727
RBM15,8.35211,7.48529,8.43868,6.78784,7.29631,7.53241,13.0365,14.4734,15.2703,11.3271
TYSND1,6.81623,6.84436,7.4078,7.02645,8.40714,7.76557,16.7432,13.7296,15.3773,9.88231
DDX54,7.93669,7.46684,7.83778,7.24394,7.26526,7.52983,13.7425,14.4423,15.305,11.2299
HCFC2,9.06727,10.8225,8.64426,6.20949,7.07375,6.33828,12.0105,11.9781,14.714,13.1419
PPAN,8.14368,8.39255,8.30157,6.84697,7.346,7.38132,13.5666,13.6738,15.2583,11.0892
KIF2C,8.43294,8.1486,8.16261,7.33024,7.48002,7.33132,15.6122,13.6541,14.3169,9.53111
RACGAP1,6.58541,6.54266,6.5711,8.10363,8.06086,8.06027,16.0072,15.1293,16.4396,8.49997
KDM5A,5.70423,6.88601,5.71309,8.08822,8.62022,8.45882,16.0036,15.5136,17.9054,7.10674
MCPH1,5.17478,5.50527,5.29778,8.07716,8.45195,9.1004,16.1294,16.5718,17.6128,8.07863
UTP11,3.51651,3.09728,3.59944,9.58575,9.40202,10.0294,18.0633,18.9241,19.9218,3.86035
ABT1,8.07221,7.30273,8.02204,7.42064,7.44234,7.37597,13.9055,14.2234,15.477,10.7582
ECT2,7.7066,8.34843,8.05572,7.36511,7.29328,7.40876,14.066,14.1489,14.972,10.6351
H3-3A,6.86384,6.28314,7.12034,6.01151,9.49009,8.59292,14.5008,16.2153,16.3929,8.52908
TRIM32,8.97903,8.86165,9.27833,6.78632,7.28207,7.01197,13.2834,13.5247,14.3365,10.6559
ORC1,6.4408,6.26064,6.67149,8.15888,8.07611,8.19228,15.5139,15.2277,16.92,8.53816
ARID2,7.70791,8.55009,8.00596,7.20029,7.21777,7.63749,13.6917,14.0446,15.2962,10.6479
FBXO38,3.99933,3.71703,3.96983,8.36792,9.36437,9.11384,17.3822,17.4944,17.4258,9.16517
ZNF597,4.97276,4.96857,5.72463,7.57997,9.04704,9.19786,16.4826,15.2993,18.4164,8.31089
RSBN1,8.32368,7.58935,8.32674,7.28265,7.19758,7.65822,13.7978,14.6773,14.5021,10.6446
KIFC1,5.88745,6.25657,6.18437,8.2282,8.42473,8.61222,15.9003,15.9397,17.1129,7.45355
ADIPOR1,5.29312,5.41749,5.51568,8.25536,9.319,8.8384,15.7183,15.2047,20.2149,6.22305
TFB2M,8.9161,9.86732,8.93386,7.03669,6.74689,7.13481,12.9081,12.9594,14.6174,10.8794
PRC1,6.35271,3.6264,4.53213,9.38089,8.15302,9.44761,20.121,17.6148,14.4447,6.32676
TYW1,8.85007,8.2758,8.57033,7.02438,7.46161,7.34641,13.5201,13.4444,15.2152,10.2918
PARN,8.524,8.87411,8.88692,6.88313,7.05452,7.3361,13.5915,13.1744,14.3032,11.3721
STK40,3.58903,4.10466,3.57393,9.3019,9.39563,9.89044,18.4611,17.4743,19.2078,5.0012
DDX18,7.78373,6.90447,7.43133,7.62753,7.80581,7.70725,15.0107,14.5561,14.9582,10.215
MARCHF7,2.63975,3.8436,2.94876,9.52821,9.45686,9.91043,20.2034,17.2265,18.149,6.09345
SMARCA1,7.07165,7.01843,7.15428,7.53716,7.89935,8.1241,14.4663,14.8263,16.0174,9.88491
PTGER2,7.84096,5.84016,7.63519,7.92156,8.99005,7.29074,14.9967,17.8875,13.6452,7.95199
TCOF1,7.67159,6.86773,8.32455,8.58344,8.23614,6.18498,18.397,14.2313,11.5311,9.9721
CDKAL1,10.1332,9.99434,10.2612,6.70048,6.37106,6.4617,11.8987,12.4207,13.1684,12.5902
UTP6,6.76215,6.45012,6.24112,8.15361,8.53671,8.31431,16.1208,15.7597,16.0921,7.56933
MEAF6,6.53132,6.11319,6.38166,8.07725,8.63085,8.12497,16.9472,15.0032,15.6678,8.52251
THAP4,6.62533,7.13614,7.15637,8.105,8.03292,7.82365,14.8514,15.3201,15.7628,9.18638
KIF23,8.7165,8.90089,8.83835,7.24643,6.98524,7.26786,13.8567,13.3168,13.9408,10.9305
SIMC1,9.29901,8.65817,9.67257,6.56825,7.02414,6.58853,11.8448,12.5772,14.1139,13.6534
IP6K2,1.15008,1.27433,1.32386,10.1935,11.3437,11.0713,19.9667,21.668,20.6008,1.40761
UTP3,5.97952,6.25999,6.19687,8.36142,8.49479,8.33249,16.7847,15.4012,15.8017,8.38734
RNF111,4.01683,3.57785,4.25048,9.77192,9.97393,8.65305,18.001,16.6929,19.265,5.79714
CENPV,9.89973,6.95496,8.8788,7.07975,7.43275,7.01814,13.4941,12.505,14.8458,11.8909
PPRC1,3.364,3.73436,3.67579,9.57334,9.60425,9.86933,18.285,18.0125,18.768,5.11339
DEPDC1B,6.14661,7.33956,6.69345,7.83122,8.0519,8.76079,12.524,16.964,17.2147,8.47384
SMARCC1,5.62793,5.82817,5.90436,8.54349,8.63807,8.84358,16.5743,16.1043,16.6148,7.32093
WRN,8.87382,9.34087,9.24854,7.09418,7.04331,7.26639,12.96,13.1749,14.3481,10.6498
RPS6KA4,11.0985,11.7425,10.9161,6.20154,5.85976,5.96238,11.2688,10.7165,12.0855,14.1485
SUGP2,10.1055,10.5711,10.087,6.4399,6.77893,6.52594,11.6385,12.6942,12.9496,12.2094
TPX2,4.96193,5.10051,5.3347,8.77368,8.41312,9.13749,16.3854,16.3562,16.9617,8.57526
CXXC5,6.87684,7.69353,7.19401,8.02926,7.90027,8.25514,13.4675,16.482,15.671,8.43043
DCAF5,6.95367,6.67256,7.34107,7.56445,7.77413,7.97816,14.241,14.53,15.0336,11.9114
RAB3B,6.21418,6.94815,6.51528,8.27989,8.48272,8.23291,15.8935,14.9441,16.1177,8.37155
ATF1,7.90362,6.38653,7.3695,7.85344,7.67128,8.36555,15.0381,14.5667,15.2452,9.60009
TAOK2,8.30806,8.21848,8.5619,7.44921,7.92295,7.41386,13.6873,13.4637,15.6001,9.3745
AMFR,7.35696,7.57262,7.43291,7.5801,8.03258,7.96937,14.6355,13.734,15.8725,9.81345
PDE3B,12.0627,11.9675,9.37542,5.58152,6.32138,6.92428,10.1451,10.2626,14.9107,12.4487
ARID1A,5.46531,5.31961,5.71286,8.6898,8.75587,9.07896,16.2743,16.0923,17.3438,7.26724
CETN2,7.51271,7.7129,8.21752,7.45112,7.76362,7.95267,14.8465,14.06,14.4905,9.99247
