Approved symbol,DMSO_1,DMSO_2,DMSO_3,MG132_1,MG132_2,MG132_3,BRD1732_1,BRD1732_2,BRD1732_3,BRD1732_1um
USB1,9.57771,10.0269,10.7124,8.27076,9.19373,10.696,11.5536,9.50646,10.7716,9.6909
CWF19L2,8.29734,8.07834,8.5622,9.6835,10.6916,10.0836,11.4833,11.1248,11.819,10.1763
EARS2,10.2795,10.7865,10.3455,8.72491,9.37331,9.0595,9.63072,9.8905,11.1741,10.7355
GLB1,8.63151,8.47373,9.1003,9.76682,10.0723,10.2113,10.9245,11.0817,11.9567,9.78102
RASA2,10.3295,11.4975,10.4609,8.96957,8.43541,9.55931,9.82688,10.0007,10.6399,10.2803
PHF20,4.48639,4.67235,5.1685,12.0964,12.1378,12.7365,13.4982,13.6817,14.5934,6.92876
STK11IP,9.11281,10.5534,10.4698,8.99497,9.56659,9.402,9.90709,11.4371,10.2507,10.3056
ANAPC16,9.47975,9.26365,9.59837,9.56909,10.0093,9.57859,9.93186,11.3884,11.6216,9.55939
VMP1,8.08014,8.71538,7.44814,9.51598,10.473,10.8819,11.3852,11.077,12.4115,10.0118
KRT80,9.83282,10.143,3.69086,11.9556,8.17519,9.10688,9.51733,12.1247,11.3864,14.0673
FDXR,10.3547,11.0436,10.9025,8.67448,8.79539,9.165,9.34064,9.87204,10.8729,10.9788
DLAT,10.1669,10.2562,10.0704,9.28708,9.15572,9.06645,10.4123,10.0488,10.611,10.9252
GPR108,9.6922,9.87099,10.0647,8.98968,9.45766,9.62911,9.24856,10.995,11.4668,10.5852
ZNF688,7.67996,8.72423,7.33874,10.1526,9.67068,10.65,11.3101,11.0577,12.0377,11.3783
KANSL1,6.27243,6.77505,6.37233,11.2077,11.1801,11.1431,11.8594,13.1515,12.8356,9.20264
BCCIP,10.0431,10.6833,10.0066,9.83933,8.91349,9.27591,10.5643,11.1552,9.9119,9.60695
PLIN3,9.68721,10.0064,9.28163,9.67952,9.78879,9.53732,11.6595,11.0371,10.0357,9.28685
INIP,12.6349,9.07473,10.2938,9.38438,8.8825,8.23652,9.4053,9.51095,10.99,11.5869
SLC25A21,9.73179,9.76313,10.1809,9.25882,10.2474,9.05757,9.87179,11.0781,11.2749,9.5356
TAF5L,9.28483,10.671,9.70871,9.26748,9.00894,9.56265,9.79849,10.3449,11.2621,11.0909
CAMKV,9.1675,11.0501,10.9205,8.27045,8.01979,8.82689,8.92812,9.45762,9.94817,15.4109
RHBDD1,8.74262,7.64766,8.30021,11.0325,10.7293,9.06206,12.6217,10.1377,12.0099,9.71632
TMEM208,8.95026,8.1518,9.5343,8.24752,11.3629,10.5211,10.0138,10.9041,13.0704,9.24381
TMED10,9.09904,9.27043,9.09086,10.0204,9.60873,9.91811,11.0472,10.8148,11.4619,9.66845
NEPRO,9.98586,10.5348,10.086,9.06069,8.68259,8.82675,9.77623,9.6193,10.5685,12.8593
PNN,8.49582,8.18358,8.4319,9.7952,10.3646,10.4443,11.57,11.0964,11.8306,9.78774
TXNL4A,10.2463,9.84534,10.4569,9.5049,9.63097,8.95335,10.6528,10.1804,10.8276,9.70134
DDX55,9.92687,9.36231,9.7371,9.48809,9.61783,9.32826,10.8104,10.3825,10.8527,10.4939
